hhid,itemcode,itemname,groupcode,groupname,gafed,adm1
6757-001-01,1004,Other spices,13,Spices and other foods,30.024039133300416,3
6757-001-01,1081,Wheat flour,1,Cereals and cereal products,31.937133491073126,3
6757-001-01,1104,"Bottled/canned soft drinks (soda, juice, water)",6,Beverages,46.54517834988997,3
6757-001-01,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",31.937133491073133,3
6757-001-01,6011,Onions,4,Vegetables,56.84809761411016,3
6757-001-01,6012,Tomatoes,4,Vegetables,62.59678164250333,3
6757-001-01,6023,Other green vegetable,4,Vegetables,42.26389507955928,3
6757-001-01,7032,Avocado,5,Fruits,45.350729557323845,3
6757-001-01,8084,Other fresh fish and seafood,9,"Meat, meat products and fish",19.076734678887412,3
6757-001-01,11011,Buns,1,Cereals and cereal products,19.162280094643876,3
6759-001-01,102,Rice (husked),1,Cereals and cereal products,205.6427898569357,3
6759-001-01,105,Maize (flour),1,Cereals and cereal products,164.51423188554855,3
6759-001-01,109,Bread,1,Cereals and cereal products,16.45142318855486,3
6759-001-01,206,"Cooking bananas, plantains",2,Starches,102.82139492846785,3
6759-001-01,301,Sugar,7,Sugar and sweets,30.846418478540357,3
6759-001-01,502,Coconuts (mature/immature),8,Nuts and seeds,7.184023390431136,3
6759-001-01,701,Ripe bananas,5,Fruits,34.95927427567907,3
6759-001-01,802,Beef (including minced sausage),9,"Meat, meat products and fish",18.185332292139595,3
6759-001-01,809,Dried/salted/canned fish and seafood (incl. Dagaa),9,"Meat, meat products and fish",41.12855797138714,3
6759-001-01,901,Fresh milk,12,Milk and milk products,10.84765716495336,3
6759-001-01,1001,Cooking oil,11,Oil and fats,28.070240815471724,3
6759-001-01,1003,Salt,13,Spices and other foods,5.141069746423392,3
6759-001-01,1101,Tea dry,6,Beverages,5.141069746423392,3
6759-001-01,1104,"Bottled/canned soft drinks (soda, juice, water)",6,Beverages,14.985190096874904,3
6759-001-01,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",41.128557971387146,3
6759-001-01,6011,Onions,4,Vegetables,4.5755520743168185,3
6759-001-01,6012,Tomatoes,4,Vegetables,40.30598681195939,3
6759-001-01,6013,"Carrots and green pepper, other viungo",4,Vegetables,3.7160416067442825,3
6759-001-01,6021,Cabbage,4,Vegetables,17.411089541220555,3
6759-001-01,6022,Chiness/spinach,4,Vegetables,22.826349674119864,3
6759-001-01,6023,Other green vegetable,4,Vegetables,3.4017084285330115,3
6759-001-01,7022,Orange/tangerine,5,Fruits,3.8558023098175447,3
6759-001-01,7032,Avocado,5,Fruits,21.900957119763653,3
6759-001-01,11011,Buns,1,Cereals and cereal products,30.846418478540357,3
6759-001-03,105,Maize (flour),1,Cereals and cereal products,133.15870949638705,3
6759-001-03,301,Sugar,7,Sugar and sweets,44.386236498795675,3
6759-001-03,802,Beef (including minced sausage),9,"Meat, meat products and fish",19.625741813988295,3
6759-001-03,809,Dried/salted/canned fish and seafood (incl. Dagaa),9,"Meat, meat products and fish",22.193118249397838,3
6759-001-03,1001,Cooking oil,11,Oil and fats,40.43586145040287,3
6759-001-03,1003,Salt,13,Spices and other foods,22.193118249397838,3
6759-001-03,6011,Onions,4,Vegetables,19.75187524196408,3
6759-001-03,6012,Tomatoes,4,Vegetables,52.19821412258373,3
6759-001-03,6023,Other green vegetable,4,Vegetables,117.47674492364543,3
6760-001-01,102,Rice (husked),1,Cereals and cereal products,122.11336239047147,3
6760-001-01,105,Maize (flour),1,Cereals and cereal products,61.05668119523573,3
6760-001-01,109,Bread,1,Cereals and cereal products,36.63400871714144,3
6760-001-01,205,Irish potatoes,2,Starches,113.56542702313847,3
6760-001-01,206,"Cooking bananas, plantains",2,Starches,30.528340597617866,3
6760-001-01,301,Sugar,7,Sugar and sweets,40.70445413015716,3
6760-001-01,701,Ripe bananas,5,Fruits,41.5185432127603,3
6760-001-01,809,Dried/salted/canned fish and seafood (incl. Dagaa),9,"Meat, meat products and fish",20.35222706507858,3
6760-001-01,1001,Cooking oil,11,Oil and fats,18.540878856286586,3
6760-001-01,1003,Salt,13,Spices and other foods,8.140890826031432,3
6760-001-01,1101,Tea dry,6,Beverages,0.8140890826031432,3
6760-001-01,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",20.352227065078583,3
6760-001-01,6011,Onions,4,Vegetables,9.056741043959965,3
6760-001-01,6012,Tomatoes,4,Vegetables,59.83554757133102,3
6760-001-01,6013,"Carrots and green pepper, other viungo",4,Vegetables,7.35544607387929,3
6760-001-01,6023,Other green vegetable,4,Vegetables,43.09287880475689,3
6760-001-01,7021,Lemon/lime,5,Fruits,16.59333269889991,3
6760-001-01,7022,Orange/tangerine,5,Fruits,30.528340597617866,3
6760-001-01,7031,Mangoes,5,Fruits,43.96081046056973,3
6760-001-01,7032,Avocado,5,Fruits,43.35024364861737,3
6760-001-01,11011,Buns,1,Cereals and cereal products,20.35222706507858,3
6761-001-01,103,"Maize (green, cob)",1,Cereals and cereal products,79.36295745362663,3
6761-001-01,105,Maize (flour),1,Cereals and cereal products,350.1306946483528,3
6761-001-01,109,Bread,1,Cereals and cereal products,87.5326736620882,3
6761-001-01,111,"Macaroni, spaghetti",1,Cereals and cereal products,29.17755788736273,3
6761-001-01,201,Cassava fresh,2,Starches,72.36034356065957,3
6761-001-01,202,Cassava dry/flour,2,Starches,72.94389471840682,3
6761-001-01,204,Yams/cocoyams,2,Starches,141.8029313325829,3
6761-001-01,205,Irish potatoes,2,Starches,542.7025767049469,3
6761-001-01,206,"Cooking bananas, plantains",2,Starches,72.94389471840682,3
6761-001-01,301,Sugar,7,Sugar and sweets,116.71023154945092,3
6761-001-01,502,Coconuts (mature/immature),8,Nuts and seeds,174.73761188456783,3
6761-001-01,701,Ripe bananas,5,Fruits,347.2129388596165,3
6761-001-01,1001,Cooking oil,11,Oil and fats,26.58075523538745,3
6761-001-01,1003,Salt,13,Spices and other foods,11.671023154945093,3
6761-001-01,1101,Tea dry,6,Beverages,1.1671023154945093,3
6761-001-01,1104,"Bottled/canned soft drinks (soda, juice, water)",6,Beverages,63.78505929756367,3
6761-001-01,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",116.71023154945097,3
6761-001-01,6011,Onions,4,Vegetables,12.984013259876415,3
6761-001-01,6012,Tomatoes,4,Vegetables,0.08578202018884643,3
6761-001-01,6013,"Carrots and green pepper, other viungo",4,Vegetables,12.653983443978012,3
6761-001-01,6022,Chiness/spinach,4,Vegetables,107.9569641832421,3
6761-001-01,7021,Lemon/lime,5,Fruits,15.859130103003357,3
6761-001-01,7022,Orange/tangerine,5,Fruits,262.5980209862646,3
6761-001-01,7032,Avocado,5,Fruits,49.71855864006609,3
6761-001-01,8084,Other fresh fish and seafood,9,"Meat, meat products and fish",10.457028597460292,3
6761-001-01,11011,Buns,1,Cereals and cereal products,105.03920839450583,3
6762-001-02,102,Rice (husked),1,Cereals and cereal products,339.44835141226105,3
6762-001-02,105,Maize (flour),1,Cereals and cereal products,56.57472523537684,3
6762-001-02,111,"Macaroni, spaghetti",1,Cereals and cereal products,113.14945047075368,3
6762-001-02,201,Cassava fresh,2,Starches,105.2289889378009,3
6762-001-02,202,Cassava dry/flour,2,Starches,132.0076922158793,3
6762-001-02,203,Sweet potatoes,2,Starches,31.681846131811028,3
6762-001-02,205,Irish potatoes,2,Starches,35.07632964593364,3
6762-001-02,206,"Cooking bananas, plantains",2,Starches,56.57472523537684,3
6762-001-02,301,Sugar,7,Sugar and sweets,160.29505483356772,3
6762-001-02,303,"Honey, syrups, jams, marmalade, jellies, canned fruits",7,Sugar and sweets,149.58357352233637,3
6762-001-02,502,Coconuts (mature/immature),8,Nuts and seeds,32.940140982729915,3
6762-001-02,701,Ripe bananas,5,Fruits,64.11802193342707,3
6762-001-02,801,Goat meat,9,"Meat, meat products and fish",82.03335159129641,3
6762-001-02,802,Beef (including minced sausage),9,"Meat, meat products and fish",33.353310643100215,3
6762-001-02,807,Eggs,10,Eggs,11.484669222781497,3
6762-001-02,901,Fresh milk,12,Milk and milk products,159.16356032886014,3
6762-001-02,902,"Milk products (like cream, cheese, yoghurt etc)",12,Milk and milk products,31.45554723086952,3
6762-001-02,1001,Cooking oil,11,Oil and fats,34.321999976128616,3
6762-001-02,1003,Salt,13,Spices and other foods,9.429120872562805,3
6762-001-02,1004,Other spices,13,Spices and other foods,8.86429879968958,3
6762-001-02,1081,Wheat flour,1,Cereals and cereal products,132.0076922158793,3
6762-001-02,1104,"Bottled/canned soft drinks (soda, juice, water)",6,Beverages,11.778857794005456,3
6762-001-02,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",150.8659339610049,3
6762-001-02,6011,Onions,4,Vegetables,8.391917576580896,3
6762-001-02,6012,Tomatoes,4,Vegetables,18.4810769102231,3
6762-001-02,6013,"Carrots and green pepper, other viungo",4,Vegetables,27.262034717067003,3
6762-001-02,6021,Cabbage,4,Vegetables,31.93328935507937,3
6762-001-02,6023,Other green vegetable,4,Vegetables,9.9823955800383,3
6762-001-02,7021,Lemon/lime,5,Fruits,6.406364407372372,3
6762-001-02,7022,Orange/tangerine,5,Fruits,50.91725271183915,3
6762-001-02,7032,Avocado,5,Fruits,12.050416475135266,3
6762-001-02,8081,Dagaa (fresh),9,"Meat, meat products and fish",18.85824174512561,3
6763-001-01,102,Rice (husked),1,Cereals and cereal products,160.5839260522726,3
6763-001-01,105,Maize (flour),1,Cereals and cereal products,120.43794453920445,3
6763-001-01,109,Bread,1,Cereals and cereal products,64.23357042090905,3
6763-001-01,204,Yams/cocoyams,2,Starches,65.03649005117042,3
6763-001-01,205,Irish potatoes,2,Starches,52.27006793001474,3
6763-001-01,206,"Cooking bananas, plantains",2,Starches,48.175177815681785,3
6763-001-01,301,Sugar,7,Sugar and sweets,40.14598151306815,3
6763-001-01,502,Coconuts (mature/immature),8,Nuts and seeds,64.1133203670789,3
6763-001-01,701,Ripe bananas,5,Fruits,150.1459708588749,3
6763-001-01,802,Beef (including minced sausage),9,"Meat, meat products and fish",142.00702383334536,3
6763-001-01,809,Dried/salted/canned fish and seafood (incl. Dagaa),9,"Meat, meat products and fish",38.54014225254543,3
6763-001-01,1001,Cooking oil,11,Oil and fats,36.57298915840509,3
6763-001-01,1003,Salt,13,Spices and other foods,16.05839260522726,3
6763-001-01,1101,Tea dry,6,Beverages,1.6058392605227263,3
6763-001-01,1104,"Bottled/canned soft drinks (soda, juice, water)",6,Beverages,100.30072021224946,3
6763-001-01,4012,Green beans,3,"Pulses, dry",73.8686059840454,3
6763-001-01,6011,Onions,4,Vegetables,42.87590825595678,3
6763-001-01,6012,Tomatoes,4,Vegetables,70.81751138905223,3
6763-001-01,6013,"Carrots and green pepper, other viungo",4,Vegetables,87.0543359676852,3
6763-001-01,6021,Cabbage,4,Vegetables,81.57663443455449,3
6763-001-01,6023,Other green vegetable,4,Vegetables,106.25409140169062,3
6763-001-01,7022,Orange/tangerine,5,Fruits,66.24086949656245,3
6763-001-01,7032,Avocado,5,Fruits,51.30656437370111,3
6763-001-01,8081,Dagaa (fresh),9,"Meat, meat products and fish",19.270071126272715,3
6763-001-01,11011,Buns,1,Cereals and cereal products,28.905106689409074,3
6763-001-01,11021,Cakes and biscuits,1,Cereals and cereal products,6.423357042090904,3
6764-001-01,102,Rice (husked),1,Cereals and cereal products,286.33210215364204,3
6764-001-01,105,Maize (flour),1,Cereals and cereal products,57.26642043072842,3
6764-001-01,111,"Macaroni, spaghetti",1,Cereals and cereal products,34.359852258437044,3
6764-001-01,201,Cassava fresh,2,Starches,17.75259033352581,3
6764-001-01,202,Cassava dry/flour,2,Starches,66.81082383584982,3
6764-001-01,203,Sweet potatoes,2,Starches,30.465735669147513,3
6764-001-01,204,Yams/cocoyams,2,Starches,15.461933516296671,3
6764-001-01,205,Irish potatoes,2,Starches,44.38147583381452,3
6764-001-01,206,"Cooking bananas, plantains",2,Starches,8.589963064609261,3
6764-001-01,301,Sugar,7,Sugar and sweets,33.40541191792491,3
6764-001-01,502,Coconuts (mature/immature),8,Nuts and seeds,28.579606701700477,3
6764-001-01,701,Ripe bananas,5,Fruits,15.414211499271063,3
6764-001-01,801,Goat meat,9,"Meat, meat products and fish",13.839384937426033,3
6764-001-01,802,Beef (including minced sausage),9,"Meat, meat products and fish",16.88054782500388,3
6764-001-01,809,Dried/salted/canned fish and seafood (incl. Dagaa),9,"Meat, meat products and fish",3.817761362048561,3
6764-001-01,902,"Milk products (like cream, cheese, yoghurt etc)",12,Milk and milk products,55.72022707909874,3
6764-001-01,1001,Cooking oil,11,Oil and fats,17.37081419732095,3
6764-001-01,1003,Salt,13,Spices and other foods,5.726642043072841,3
6764-001-01,1081,Wheat flour,1,Cereals and cereal products,38.17761362048561,3
6764-001-01,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",14.316605107682106,3
6764-001-01,6011,Onions,4,Vegetables,10.193422836669654,3
6764-001-01,6012,Tomatoes,4,Vegetables,84.18163803317077,3
6764-001-01,6013,"Carrots and green pepper, other viungo",4,Vegetables,3.449418303423851,3
6764-001-01,6021,Cabbage,4,Vegetables,14.545670789405017,3
6764-001-01,6022,Chiness/spinach,4,Vegetables,7.627887201373025,3
6764-001-01,7021,Lemon/lime,5,Fruits,5.447139638580718,3
6764-001-01,7022,Orange/tangerine,5,Fruits,12.884944596913893,3
6764-001-01,7032,Avocado,5,Fruits,3.659324265523545,3
6764-001-01,8081,Dagaa (fresh),9,"Meat, meat products and fish",1.756170226542338,3
6777-001-01,102,Rice (husked),1,Cereals and cereal products,42.01471241303899,3
6777-001-01,103,"Maize (green, cob)",1,Cereals and cereal products,19.04666962724434,3
6777-001-01,105,Maize (flour),1,Cereals and cereal products,196.0686579275153,3
6777-001-01,109,Bread,1,Cereals and cereal products,44.81569324057493,3
6777-001-01,301,Sugar,7,Sugar and sweets,21.007356206519496,3
6777-001-01,502,Coconuts (mature/immature),8,Nuts and seeds,5.591474363361899,3
6777-001-01,1001,Cooking oil,11,Oil and fats,3.189616917356543,3
6777-001-01,1003,Salt,13,Spices and other foods,2.800980827535933,3
6777-001-01,1004,Other spices,13,Spices and other foods,1.3165984041909906,3
6777-001-01,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",14.004904137679668,3
6777-001-01,6011,Onions,4,Vegetables,5.384605542855078,3
6777-001-01,6012,Tomatoes,4,Vegetables,19.091205222402163,3
6777-001-01,6013,"Carrots and green pepper, other viungo",4,Vegetables,9.110657535673342,3
6777-001-01,6021,Cabbage,4,Vegetables,5.928742751617724,3
6777-001-01,6023,Other green vegetable,4,Vegetables,9.266670711690889,3
6777-001-01,7021,Lemon/lime,5,Fruits,2.3788145419093376,3
6777-001-01,7022,Orange/tangerine,5,Fruits,63.02206861955849,3
6777-001-01,8081,Dagaa (fresh),9,"Meat, meat products and fish",3.5012260344199158,3
6777-001-02,105,Maize (flour),1,Cereals and cereal products,119.62880958718976,3
6777-001-02,109,Bread,1,Cereals and cereal products,54.687455811286746,3
6777-001-02,301,Sugar,7,Sugar and sweets,51.26948982308132,3
6777-001-02,502,Coconuts (mature/immature),8,Nuts and seeds,8.52891824981992,3
6777-001-02,809,Dried/salted/canned fish and seafood (incl. Dagaa),9,"Meat, meat products and fish",17.08982994102711,3
6777-001-02,1001,Cooking oil,11,Oil and fats,31.13767015255139,3
6777-001-02,1003,Salt,13,Spices and other foods,8.544914970513554,3
6777-001-02,1101,Tea dry,6,Beverages,0.4101559185846506,3
6777-001-02,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",34.179659882054224,3
6777-001-02,6011,Onions,4,Vegetables,21.293928106519775,3
6777-001-02,6012,Tomatoes,4,Vegetables,167.48033342206568,3
6777-001-02,6013,"Carrots and green pepper, other viungo",4,Vegetables,118.58671707563023,3
6777-001-02,6022,Chiness/spinach,4,Vegetables,177.05063818904085,3
6777-001-02,7031,Mangoes,5,Fruits,49.218710230158074,3
6777-001-02,7032,Avocado,5,Fruits,58.24214043902039,3
6777-001-02,8081,Dagaa (fresh),9,"Meat, meat products and fish",17.08982994102711,3
6777-001-02,11011,Buns,1,Cereals and cereal products,27.343727905643373,3
6778-001-01,102,Rice (husked),1,Cereals and cereal products,82.54239945916358,3
6778-001-01,104,Maize (grain),1,Cereals and cereal products,20.635599864790894,3
6778-001-01,105,Maize (flour),1,Cereals and cereal products,82.54239945916358,3
6778-001-01,203,Sweet potatoes,2,Starches,23.1118718485658,3
6778-001-01,205,Irish potatoes,2,Starches,16.811410497847845,3
6778-001-01,301,Sugar,7,Sugar and sweets,13.757066576527262,3
6778-001-01,501,Groundnuts in shell/shelled,8,Nuts and seeds,6.878533288263631,3
6778-001-01,704,Sugarcane,5,Fruits,13.757066576527262,3
6778-001-01,902,"Milk products (like cream, cheese, yoghurt etc)",12,Milk and milk products,5.736696762411868,3
6778-001-01,1001,Cooking oil,11,Oil and fats,12.532687651216335,3
6778-001-01,1003,Salt,13,Spices and other foods,5.502826630610905,3
6778-001-01,1004,Other spices,13,Spices and other foods,6.466496208379579,3
6778-001-01,1101,Tea dry,6,Beverages,0.5502826630610904,3
6778-001-01,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",27.51413315305453,3
6778-001-01,6011,Onions,4,Vegetables,18.977873342319356,3
6778-001-01,6012,Tomatoes,4,Vegetables,25.615657965493764,3
6778-001-01,6013,"Carrots and green pepper, other viungo",4,Vegetables,2.9831436436370984,3
6778-001-01,6023,Other green vegetable,4,Vegetables,17.29509812230356,3
6778-001-01,7022,Orange/tangerine,5,Fruits,13.722673910085943,3
6778-001-01,8081,Dagaa (fresh),9,"Meat, meat products and fish",6.878533288263631,3
6778-001-03,102,Rice (husked),1,Cereals and cereal products,262.5894746490278,3
6778-001-03,105,Maize (flour),1,Cereals and cereal products,52.51789492980556,3
6778-001-03,107,Millet and sorghum (flour),1,Cereals and cereal products,52.51789492980556,3
6778-001-03,205,Irish potatoes,2,Starches,195.36656913887668,3
6778-001-03,301,Sugar,7,Sugar and sweets,52.51789492980556,3
6778-001-03,501,Groundnuts in shell/shelled,8,Nuts and seeds,52.51789492980556,3
6778-001-03,502,Coconuts (mature/immature),8,Nuts and seeds,78.62936624669946,3
6778-001-03,701,Ripe bananas,5,Fruits,26.784126414200838,3
6778-001-03,704,Sugarcane,5,Fruits,157.55368478941668,3
6778-001-03,802,Beef (including minced sausage),9,"Meat, meat products and fish",46.44244377576344,3
6778-001-03,807,Eggs,10,Eggs,36.55245487114467,3
6778-001-03,809,Dried/salted/canned fish and seafood (incl. Dagaa),9,"Meat, meat products and fish",39.38842119735417,3
6778-001-03,1001,Cooking oil,11,Oil and fats,47.79128438612306,3
6778-001-03,1003,Salt,13,Spices and other foods,6.8273263408747225,3
6778-001-03,1081,Wheat flour,1,Cereals and cereal products,52.51789492980556,3
6778-001-03,4011,Peas,3,"Pulses, dry",34.77656267289627,3
6778-001-03,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",26.258947464902786,3
6778-001-03,6011,Onions,4,Vegetables,28.044555892516165,3
6778-001-03,6012,Tomatoes,4,Vegetables,102.9350740624189,3
6778-001-03,6013,"Carrots and green pepper, other viungo",4,Vegetables,75.92142969604824,3
6778-001-03,6022,Chiness/spinach,4,Vegetables,38.86324224805611,3
6778-001-03,6023,Other green vegetable,4,Vegetables,17.37484362625275,3
6778-001-03,7021,Lemon/lime,5,Fruits,10.704564424689016,3
6778-001-03,7022,Orange/tangerine,5,Fruits,31.510736957883335,3
6778-001-03,7032,Avocado,5,Fruits,37.28770540016195,3
6778-001-03,8041,Chicken,9,"Meat, meat products and fish",102.40989511312084,3
6778-001-03,11011,Buns,1,Cereals and cereal products,23.7735717931163,3
6779-001-01,102,Rice (husked),1,Cereals and cereal products,191.79962317164407,3
6779-001-01,104,Maize (grain),1,Cereals and cereal products,38.35992463432881,3
6779-001-01,105,Maize (flour),1,Cereals and cereal products,115.07977390298643,3
6779-001-01,205,Irish potatoes,2,Starches,142.69891963970318,3
6779-001-01,206,"Cooking bananas, plantains",2,Starches,191.79962317164407,3
6779-001-01,301,Sugar,7,Sugar and sweets,38.35992463432881,3
6779-001-01,802,Beef (including minced sausage),9,"Meat, meat products and fish",101.76694889162047,3
6779-001-01,901,Fresh milk,12,Milk and milk products,283.2880434245183,3
6779-001-01,902,"Milk products (like cream, cheese, yoghurt etc)",12,Milk and milk products,223.9452400152116,3
6779-001-01,1001,Cooking oil,11,Oil and fats,34.90753141723922,3
6779-001-01,1003,Salt,13,Spices and other foods,9.589981158582203,3
6779-001-01,1101,Tea dry,6,Beverages,1.1507977390298643,3
6779-001-01,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",19.17996231716441,3
6779-001-01,6011,Onions,4,Vegetables,10.24209987736579,3
6779-001-01,6012,Tomatoes,4,Vegetables,45.11127136997068,3
6779-001-01,7022,Orange/tangerine,5,Fruits,43.154915213619915,3
6779-001-01,7032,Avocado,5,Fruits,32.68265578844815,3
6780-001-01,102,Rice (husked),1,Cereals and cereal products,114.6312601346383,3
6780-001-01,105,Maize (flour),1,Cereals and cereal products,114.6312601346383,3
6780-001-01,109,Bread,1,Cereals and cereal products,68.77875608078298,3
6780-001-01,205,Irish potatoes,2,Starches,106.60707192521362,3
6780-001-01,301,Sugar,7,Sugar and sweets,28.657815033659574,3
6780-001-01,502,Coconuts (mature/immature),8,Nuts and seeds,45.76666473269362,3
6780-001-01,802,Beef (including minced sausage),9,"Meat, meat products and fish",50.68516037117905,3
6780-001-01,809,Dried/salted/canned fish and seafood (incl. Dagaa),9,"Meat, meat products and fish",6.8778756080782975,3
6780-001-01,901,Fresh milk,12,Milk and milk products,120.9359794420434,3
6780-001-01,902,"Milk products (like cream, cheese, yoghurt etc)",12,Milk and milk products,95.60247095228833,3
6780-001-01,1001,Cooking oil,11,Oil and fats,13.053634747831936,3
6780-001-01,1003,Salt,13,Spices and other foods,14.328907516829787,3
6780-001-01,1081,Wheat flour,1,Cereals and cereal products,14.328907516829787,3
6780-001-01,4011,Peas,3,"Pulses, dry",30.362840762552118,3
6780-001-01,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",28.65781503365958,3
6780-001-01,6011,Onions,4,Vegetables,20.404364303965615,3
6780-001-01,6012,Tomatoes,4,Vegetables,50.552385719375486,3
6780-001-01,6013,"Carrots and green pepper, other viungo",4,Vegetables,2.900001236835325,3
6780-001-01,6023,Other green vegetable,4,Vegetables,91.01812883467827,3
6780-001-01,7021,Lemon/lime,5,Fruits,7.0094834008557125,3
6780-001-01,7031,Mangoes,5,Fruits,61.90088047270468,3
6780-001-01,7032,Avocado,5,Fruits,28.62882482091824,3
6782-001-01,105,Maize (flour),1,Cereals and cereal products,265.22216183171054,3
6782-001-01,301,Sugar,7,Sugar and sweets,53.04443236634211,3
6782-001-01,1001,Cooking oil,11,Oil and fats,12.080869471434415,3
6782-001-01,1003,Salt,13,Spices and other foods,13.261108091585527,3
6782-001-01,4012,Green beans,3,"Pulses, dry",122.00219444258686,3
6782-001-01,6011,Onions,4,Vegetables,16.523340682115563,3
6782-001-01,6012,Tomatoes,4,Vegetables,23.392594673556868,3
6782-001-01,6013,"Carrots and green pepper, other viungo",4,Vegetables,13.419456375943403,3
6782-001-01,6023,Other green vegetable,4,Vegetables,43.87260374965426,3
6782-001-01,7032,Avocado,5,Fruits,16.947696141046304,3
6782-001-01,8081,Dagaa (fresh),9,"Meat, meat products and fish",26.522216183171054,3
6782-001-01,11011,Buns,1,Cereals and cereal products,53.04443236634211,3
6783-001-01,102,Rice (husked),1,Cereals and cereal products,38.35047434679613,3
6783-001-01,104,Maize (grain),1,Cereals and cereal products,38.35047434679613,3
6783-001-01,105,Maize (flour),1,Cereals and cereal products,153.40189738718453,3
6783-001-01,301,Sugar,7,Sugar and sweets,19.175237173398067,3
6783-001-01,701,Ripe bananas,5,Fruits,8.149475798694178,3
6783-001-01,809,Dried/salted/canned fish and seafood (incl. Dagaa),9,"Meat, meat products and fish",9.587618586699033,3
6783-001-01,902,"Milk products (like cream, cheese, yoghurt etc)",12,Milk and milk products,15.992147802613987,3
6783-001-01,1001,Cooking oil,11,Oil and fats,17.468641064965638,3
6783-001-01,1003,Salt,13,Spices and other foods,3.835047434679613,3
6783-001-01,1004,Other spices,13,Spices and other foods,9.01330220267485,3
6783-001-01,4012,Green beans,3,"Pulses, dry",70.56487279810489,3
6783-001-01,6011,Onions,4,Vegetables,8.53298054216214,3
6783-001-01,6012,Tomatoes,4,Vegetables,56.375197289790314,3
6783-001-01,6021,Cabbage,4,Vegetables,8.117517070071846,3
6783-001-01,6022,Chiness/spinach,4,Vegetables,70.94837754157285,3
6783-001-01,6023,Other green vegetable,4,Vegetables,88.81419313572384,3
6783-001-01,7021,Lemon/lime,5,Fruits,6.5140514471521715,3
6783-001-01,7022,Orange/tangerine,5,Fruits,5.75257115201942,3
6783-001-01,7032,Avocado,5,Fruits,8.168651035867576,3
6783-001-01,11011,Buns,1,Cereals and cereal products,23.7735717931163,3
6796-001-02,102,Rice (husked),1,Cereals and cereal products,34.398762220453044,3
6796-001-02,105,Maize (flour),1,Cereals and cereal products,240.79133554317133,3
6796-001-02,206,"Cooking bananas, plantains",2,Starches,34.398762220453044,3
6796-001-02,301,Sugar,7,Sugar and sweets,60.19783388579283,3
6796-001-02,802,Beef (including minced sausage),9,"Meat, meat products and fish",15.209697404232584,3
6796-001-02,807,Eggs,10,Eggs,14.963461565897076,3
6796-001-02,809,Dried/salted/canned fish and seafood (incl. Dagaa),9,"Meat, meat products and fish",6.879752444090609,3
6796-001-02,1001,Cooking oil,11,Oil and fats,5.013963581253236,3
6796-001-02,1003,Salt,13,Spices and other foods,3.4398762220453043,3
6796-001-02,1081,Wheat flour,1,Cereals and cereal products,51.59814333067957,3
6796-001-02,1101,Tea dry,6,Beverages,0.6879752444090609,3
6796-001-02,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",17.19938111022653,3
6796-001-02,6011,Onions,4,Vegetables,6.122979675240641,3
6796-001-02,6012,Tomatoes,4,Vegetables,16.855393488021992,3
6796-001-02,6013,"Carrots and green pepper, other viungo",4,Vegetables,12.431968241690885,3
6796-001-02,6023,Other green vegetable,4,Vegetables,22.760741469773734,3
6796-001-02,7031,Mangoes,5,Fruits,7.430132639617858,3
6797-001-01,102,Rice (husked),1,Cereals and cereal products,44.842908858039515,3
6797-001-01,103,"Maize (green, cob)",1,Cereals and cereal products,76.23294505866718,3
6797-001-01,201,Cassava fresh,2,Starches,27.802603491984502,3
6797-001-01,206,"Cooking bananas, plantains",2,Starches,89.68581771607903,3
6797-001-01,301,Sugar,7,Sugar and sweets,22.421454429019757,3
6797-001-01,901,Fresh milk,12,Milk and milk products,94.61853769046338,3
6797-001-01,1001,Cooking oil,11,Oil and fats,20.425944984837,3
6797-001-01,1003,Salt,13,Spices and other foods,17.937163543215807,3
6797-001-01,1101,Tea dry,6,Beverages,1.0762298125929484,3
6797-001-01,6011,Onions,4,Vegetables,19.955094441827583,3
6797-001-01,6012,Tomatoes,4,Vegetables,43.94605068087873,3
6797-001-01,6013,"Carrots and green pepper, other viungo",4,Vegetables,32.41312086844291,3
6797-001-01,6022,Chiness/spinach,4,Vegetables,49.77562883242386,3
6797-001-01,7021,Lemon/lime,5,Fruits,15.233658530517161,3
6797-001-01,7022,Orange/tangerine,5,Fruits,33.632181643529634,3
6797-001-01,7032,Avocado,5,Fruits,31.838465289208056,3
6797-001-01,8081,Dagaa (fresh),9,"Meat, meat products and fish",22.421454429019757,3
6798-001-01,102,Rice (husked),1,Cereals and cereal products,95.11443561781091,3
6798-001-01,104,Maize (grain),1,Cereals and cereal products,63.40962374520727,3
6798-001-01,105,Maize (flour),1,Cereals and cereal products,126.81924749041454,3
6798-001-01,109,Bread,1,Cereals and cereal products,31.704811872603635,3
